,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
8146,1004558,12/05/2015,1400,Central,163,PICKPOCKET,31.0,F,H,SIDEWALK,"(34.0449, -118.2528)",12,5,2015,34.0449,-118.2528,2015-12-05,23.8
8155,1004570,12/06/2015,1100,Central,111,PICKPOCKET,30.0,F,A,OTHER BUSINESS,"(34.0604, -118.2393)",12,6,2015,34.0604,-118.2393,2015-12-06,26.5
8195,1004619,12/08/2015,1325,Central,157,CRIMINAL HOMICIDE,64.0,M,H,SIDEWALK,"(34.0442, -118.2439)",12,8,2015,34.0442,-118.2439,2015-12-08,27.2
8247,1004676,12/05/2015,1200,Central,156,PICKPOCKET,31.0,F,B,LIQUOR STORE,"(34.0449, -118.2458)",12,5,2015,34.0449,-118.2458,2015-12-05,23.8
8322,1004767,12/13/2015,220,Central,152,CRIMINAL HOMICIDE,22.0,M,B,PARKING LOT,"(34.0516, -118.2561)",12,13,2015,34.0516,-118.2561,2015-12-13,17.0
8671,1005166,12/27/2015,5,Central,143,PICKPOCKET,21.0,F,H,OTHER PREMISE,"(34.0503, -118.2504)",12,27,2015,34.0503,-118.2504,2015-12-27,15.2
8725,1005232,07/31/2015,1330,Rampart,257,ARSON,14.0,M,H,HOSPITAL,"(34.0552, -118.2675)",7,31,2015,34.0552,-118.2675,2015-07-31,32.4
8751,1005268,01/03/2015,2045,Rampart,211,CRIMINAL HOMICIDE,28.0,M,H,SIDEWALK,"(34.0813, -118.2981)",1,3,2015,34.0813,-118.2981,2015-01-03,14.4
8776,1005295,02/06/2015,1430,Rampart,285,KIDNAPPING,27.0,F,H,STREET,"(34.047, -118.2755)",2,6,2015,34.047,-118.2755,2015-02-06,22.0
8789,1005309,02/15/2015,828,Rampart,238,CRIMINAL HOMICIDE,35.0,M,H,SIDEWALK,"(34.0647, -118.2583)",2,15,2015,34.0647,-118.2583,2015-02-15,27.4
8855,1005382,05/23/2015,30,Rampart,202,CRIMINAL HOMICIDE,17.0,M,H,SIDEWALK,"(34.0872, -118.2869)",5,23,2015,34.0872,-118.2869,2015-05-23,20.3
8926,1005457,08/06/2015,2030,Rampart,236,CRIMINAL HOMICIDE,71.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0644, -118.2686)",8,6,2015,34.0644,-118.2686,2015-08-06,33.1
8940,1005471,08/20/2015,1200,Rampart,246,KIDNAPPING,23.0,F,B,STREET,"(34.0596, -118.2749)",8,20,2015,34.0596,-118.2749,2015-08-20,29.0
9112,1005668,01/05/2015,1030,Rampart,245,KIDNAPPING,36.0,M,H,BANK,"(34.0596, -118.2749)",1,5,2015,34.0596,-118.2749,2015-01-05,24.5
9279,1005855,01/14/2015,207,Rampart,247,CRIMINAL HOMICIDE,23.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0588, -118.2706)",1,14,2015,34.0588,-118.2706,2015-01-14,22.1
9753,1006390,02/06/2015,2245,Rampart,249,ARSON,32.0,F,H,STREET,"(34.0559, -118.2584)",2,6,2015,34.0559,-118.2584,2015-02-06,23.1
10054,1006725,02/19/2015,1410,Rampart,265,KIDNAPPING,28.0,F,H,ALLEY,"(34.0544, -118.2767)",2,19,2015,34.0544,-118.2767,2015-02-19,23.8
