,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
287519,1339050,09/16/2016,1434,Newton,1385,ARSON,65.0,M,W,SINGLE FAMILY DWELLING,"(33.9859, -118.2652)",9,16,2016,33.9859,-118.2652,2016-09-16,26.7
287764,1339361,09/27/2016,2120,Newton,1323,CRIMINAL HOMICIDE,26.0,M,H,STREET,"(34.0232, -118.2554)",9,27,2016,34.0232,-118.2554,2016-09-27,34.8
287791,1339394,09/30/2016,201,Newton,1362,CRIMINAL HOMICIDE,18.0,M,H,STREET,"(33.9988, -118.2674)",9,30,2016,33.9988,-118.2674,2016-09-30,31.9
287800,1339404,09/29/2016,1720,Newton,1385,THROWING OBJECT AT MOVING VEHICLE,26.0,F,H,STREET,"(33.982, -118.2614)",9,29,2016,33.982,-118.2614,2016-09-29,32.8
287886,1339525,10/04/2016,2143,Newton,1343,ARSON,57.0,M,H,SINGLE FAMILY DWELLING,"(34.0132, -118.2603)",10,4,2016,34.0132,-118.2603,2016-10-04,24.5
287931,1339591,10/06/2016,1015,Newton,1353,CRIMINAL HOMICIDE,26.0,M,H,SIDEWALK,"(34.0016, -118.2634)",10,6,2016,34.0016,-118.2634,2016-10-06,30.0
288151,1339863,10/15/2016,758,Newton,1342,ARSON,24.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.0163, -118.274)",10,15,2016,34.0163,-118.274,2016-10-15,24.3
288305,1340048,10/21/2016,1600,Newton,1342,KIDNAPPING,20.0,F,H,STREET,"(34.0171, -118.2736)",10,21,2016,34.0171,-118.2736,2016-10-21,32.3
288335,1340088,10/23/2016,115,Newton,1361,KIDNAPPING,32.0,M,H,GAS STATION,"(34.0038, -118.2783)",10,23,2016,34.0038,-118.2783,2016-10-23,26.1
288390,1340160,10/24/2016,2233,Newton,1344,CRIMINAL HOMICIDE,20.0,F,H,SIDEWALK,"(34.0092, -118.2652)",10,24,2016,34.0092,-118.2652,2016-10-24,23.7
288548,1340366,10/31/2016,2115,Newton,1331,CRIMINAL HOMICIDE,50.0,M,H,STREET,"(34.0218, -118.2665)",10,31,2016,34.0218,-118.2665,2016-10-31,19.7
288692,1340556,10/07/2016,914,Newton,1393,ARSON,45.0,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9786, -118.2761)",10,7,2016,33.9786,-118.2761,2016-10-07,32.5
288714,1340586,11/03/2016,1125,Newton,1371,ARSON,99.0,M,O,STREET,"(33.9924, -118.2783)",11,3,2016,33.9924,-118.2783,2016-11-03,30.1
288718,1340593,11/07/2016,2200,Newton,1352,ARSON,49.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.0039, -118.2696)",11,7,2016,34.0039,-118.2696,2016-11-07,27.3
288894,1340820,11/11/2016,300,Newton,1344,ARSON,50.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0075, -118.2617)",11,11,2016,34.0075,-118.2617,2016-11-11,29.5
288942,1340891,11/11/2016,1807,Newton,1325,ARSON,33.0,M,H,STREET,"(34.0159, -118.2536)",11,11,2016,34.0159,-118.2536,2016-11-11,29.5
288978,1340938,11/19/2016,1646,Newton,1385,KIDNAPPING,15.0,F,H,STREET,"(33.9845, -118.2652)",11,19,2016,33.9845,-118.2652,2016-11-19,23.3
289042,1341010,11/20/2016,2230,Newton,1375,THROWING OBJECT AT MOVING VEHICLE,30.0,F,H,STREET,"(33.9902, -118.2521)",11,20,2016,33.9902,-118.2521,2016-11-20,19.0
289043,1341011,11/20/2016,2230,Newton,1375,THROWING OBJECT AT MOVING VEHICLE,25.0,M,H,STREET,"(33.9902, -118.2521)",11,20,2016,33.9902,-118.2521,2016-11-20,19.0
289324,1341381,12/05/2016,200,Newton,1352,ARSON,57.0,M,H,PARKING LOT,"(34.0035, -118.2691)",12,5,2016,34.0035,-118.2691,2016-12-05,17.8
289838,1342062,12/29/2016,140,Newton,1352,ARSON,34.0,F,B,PARKING LOT,"(34.0039, -118.2717)",12,29,2016,34.0039,-118.2717,2016-12-29,24.0
290092,1342410,01/06/2016,1948,Pacific,1454,CRIMINAL HOMICIDE,17.0,F,W,PARKING LOT,"(33.9866, -118.4363)",1,6,2016,33.9866,-118.4363,2016-01-06,12.4
290135,1342466,01/10/2016,1130,Pacific,1403,PICKPOCKET,73.0,F,A,STREET,"(34.0301, -118.4272)",1,10,2016,34.0301,-118.4272,2016-01-10,15.5
290547,1343005,01/28/2016,2010,Pacific,1414,CRIMINAL HOMICIDE,43.0,M,H,STREET,"(33.9996, -118.469)",1,28,2016,33.9996,-118.469,2016-01-28,21.3
291173,1343812,02/27/2016,1400,Pacific,1469,PICKPOCKET,59.0,F,O,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.","(33.9773, -118.3718)",2,27,2016,33.9773,-118.3718,2016-02-27,25.6
291555,1344319,03/19/2016,930,Pacific,1488,PICKPOCKET,33.0,M,B,PARKING LOT,"(33.9575, -118.3805)",3,19,2016,33.9575,-118.3805,2016-03-19,22.4
291813,1344659,03/31/2016,534,Pacific,1431,ARSON,35.0,M,W,SINGLE FAMILY DWELLING,"(33.9856, -118.4718)",3,31,2016,33.9856,-118.4718,2016-03-31,21.1
291896,1344765,04/05/2016,1130,Pacific,1443,PICKPOCKET,16.0,M,H,ELEMENTARY SCHOOL,"(33.9994, -118.442)",4,5,2016,33.9994,-118.442,2016-04-05,29.7
291934,1344819,04/04/2016,1500,Pacific,1483,ARSON,30.0,M,O,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),"(33.9598, -118.4224)",4,4,2016,33.9598,-118.4224,2016-04-04,26.0
292017,1344939,04/08/2016,1310,Pacific,1455,PICKPOCKET,13.0,F,H,JUNIOR HIGH SCHOOL,"(33.9878, -118.4215)",4,8,2016,33.9878,-118.4215,2016-04-08,17.2
292822,1345959,05/12/2016,1355,Pacific,1406,KIDNAPPING,22.0,F,B,STREET,"(34.0286, -118.4118)",5,12,2016,34.0286,-118.4118,2016-05-12,26.5
293244,1346492,05/27/2016,1900,Pacific,1431,PICKPOCKET,35.0,F,W,STREET,"(33.9848, -118.4718)",5,27,2016,33.9848,-118.4718,2016-05-27,24.1
293434,1346736,06/06/2016,355,Pacific,1479,PICKPOCKET,38.0,F,W,OTHER PREMISE,"(33.9722, -118.3776)",6,6,2016,33.9722,-118.3776,2016-06-06,24.0
293721,1347114,06/15/2016,1800,Pacific,1469,ARSON,38.0,M,B,STREET,"(33.9685, -118.3701)",6,15,2016,33.9685,-118.3701,2016-06-15,22.7
293936,1347377,06/24/2016,2100,Pacific,1467,PICKPOCKET,25.0,F,H,ENTERTAINMENT/COMEDY CLUB (OTHER),"(33.9759, -118.3897)",6,24,2016,33.9759,-118.3897,2016-06-24,26.8
294149,1347623,07/01/2016,2000,Pacific,1402,PICKPOCKET,63.0,M,H,STREET,"(34.0276, -118.437)",7,1,2016,34.0276,-118.437,2016-07-01,28.0
294258,1347755,07/05/2016,1725,Pacific,1446,KIDNAPPING,18.0,F,B,STREET,"(34.0041, -118.4273)",7,5,2016,34.0041,-118.4273,2016-07-05,26.7
294697,1348307,07/22/2016,1930,Pacific,1431,PICKPOCKET,22.0,F,W,OTHER BUSINESS,"(33.9853, -118.4723)",7,22,2016,33.9853,-118.4723,2016-07-22,35.1
294846,1348487,07/25/2016,1000,Pacific,1433,CRIMINAL HOMICIDE,85.0,F,W,PARKING LOT,"(33.9972, -118.4592)",7,25,2016,33.9972,-118.4592,2016-07-25,31.7
295036,1348741,08/03/2016,1606,Pacific,1414,CRIMINAL HOMICIDE,37.0,M,H,STREET,"(33.9968, -118.4662)",8,3,2016,33.9968,-118.4662,2016-08-03,28.3
295162,1348903,07/28/2016,1116,Pacific,1435,CRIMINAL HOMICIDE,54.0,M,W,SINGLE FAMILY DWELLING,"(34.014, -118.4243)",7,28,2016,34.014,-118.4243,2016-07-28,32.3
296087,1350074,09/16/2016,1700,Pacific,1431,PICKPOCKET,29.0,M,W,STREET,"(33.9864, -118.4732)",9,16,2016,33.9864,-118.4732,2016-09-16,25.7
296207,1350229,08/09/2016,1100,Pacific,1489,ARSON,22.0,F,H,SINGLE FAMILY DWELLING,"(33.9493, -118.3725)",8,9,2016,33.9493,-118.3725,2016-08-09,26.0
296829,1351041,10/15/2016,1040,Pacific,1494,PICKPOCKET,24.0,M,A,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)","(33.9454, -118.3998)",10,15,2016,33.9454,-118.3998,2016-10-15,23.9
297418,1351797,10/09/2016,1700,Pacific,1415,PICKPOCKET,89.0,F,W,OTHER BUSINESS,"(34.0001, -118.4653)",10,9,2016,34.0001,-118.4653,2016-10-09,30.9
297573,1351993,11/13/2016,1400,Pacific,1431,PICKPOCKET,55.0,M,W,RESTAURANT/FAST FOOD,"(33.9848, -118.4718)",11,13,2016,33.9848,-118.4718,2016-11-13,29.9
297700,1352173,11/21/2016,2125,Pacific,1431,CRIMINAL HOMICIDE,22.0,F,H,STREET,"(33.9875, -118.4726)",11,21,2016,33.9875,-118.4726,2016-11-21,18.2
297856,1352379,11/08/2016,331,Pacific,1435,ARSON,78.0,F,W,SINGLE FAMILY DWELLING,"(34.0118, -118.4288)",11,8,2016,34.0118,-118.4288,2016-11-08,31.9
297938,1352483,11/29/2016,2230,Pacific,1413,CRIMINAL HOMICIDE,55.0,M,B,STREET,"(33.9943, -118.4748)",11,29,2016,33.9943,-118.4748,2016-11-29,19.0
298897,1353703,12/07/2016,1855,N Hollywood,1504,THROWING OBJECT AT MOVING VEHICLE,45.0,F,H,STREET,"(34.2012, -118.3878)",12,7,2016,34.2012,-118.3878,2016-12-07,16.9
299807,1354769,02/08/2016,2235,N Hollywood,1527,CRIMINAL HOMICIDE,25.0,M,H,ALLEY,"(34.1849, -118.3746)",2,8,2016,34.1849,-118.3746,2016-02-08,29.4
299833,1354802,02/09/2016,2130,N Hollywood,1555,KIDNAPPING,19.0,M,H,"VEHICLE, PASSENGER/TRUCK","(34.1649, -118.3746)",2,9,2016,34.1649,-118.3746,2016-02-09,30.9
299852,1354827,02/05/2016,1600,N Hollywood,1557,CRIMINAL HOMICIDE,74.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.1594, -118.3657)",2,5,2016,34.1594,-118.3657,2016-02-05,21.9
299931,1354916,02/13/2016,1120,N Hollywood,1538,CRIMINAL HOMICIDE,49.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.174, -118.3746)",2,13,2016,34.174,-118.3746,2016-02-13,28.5
300016,1355011,02/14/2016,1300,N Hollywood,1546,ARSON,48.0,F,W,STREET,"(34.1684, -118.3851)",2,14,2016,34.1684,-118.3851,2016-02-14,30.0
300250,1355274,02/24/2016,2300,N Hollywood,1524,CRIMINAL HOMICIDE,26.0,M,H,SIDEWALK,"(34.1869, -118.3987)",2,24,2016,34.1869,-118.3987,2016-02-24,27.3
300932,1356059,03/25/2016,900,N Hollywood,1543,CRIMINAL HOMICIDE,55.0,M,O,PARKING LOT,"(34.1685, -118.4008)",3,25,2016,34.1685,-118.4008,2016-03-25,27.2
301058,1356202,03/16/2016,1945,N Hollywood,1548,ARSON,54.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.1649, -118.3664)",3,16,2016,34.1649,-118.3664,2016-03-16,29.0
301240,1356407,04/04/2016,1600,N Hollywood,1547,PICKPOCKET,79.0,F,W,PARK/PLAYGROUND,"(34.1681, -118.379)",4,4,2016,34.1681,-118.379,2016-04-04,28.7
301473,1356672,04/14/2016,1135,N Hollywood,1557,ARSON,62.0,M,W,SINGLE FAMILY DWELLING,"(34.1594, -118.3657)",4,14,2016,34.1594,-118.3657,2016-04-14,22.9
301562,1356778,04/16/2016,1235,N Hollywood,1555,THROWING OBJECT AT MOVING VEHICLE,49.0,M,W,STREET,"(34.1576, -118.379)",4,16,2016,34.1576,-118.379,2016-04-16,30.3
301684,1356926,04/20/2016,2105,N Hollywood,1526,CRIMINAL HOMICIDE,54.0,M,W,SIDEWALK,"(34.1886, -118.3823)",4,20,2016,34.1886,-118.3823,2016-04-20,30.4
301747,1357008,04/23/2016,1230,N Hollywood,1555,ARSON,15.0,M,W,PARKING LOT,"(34.1589, -118.3742)",4,23,2016,34.1589,-118.3742,2016-04-23,27.2
301863,1357146,04/27/2016,1905,N Hollywood,1583,THROWING OBJECT AT MOVING VEHICLE,26.0,M,W,STREET,"(34.1504, -118.3877)",4,27,2016,34.1504,-118.3877,2016-04-27,23.4
301979,1357277,05/01/2016,1315,N Hollywood,1504,THROWING OBJECT AT MOVING VEHICLE,31.0,M,O,STREET,"(34.2045, -118.392)",5,1,2016,34.2045,-118.392,2016-05-01,23.8
302164,1357501,05/07/2016,1855,N Hollywood,1545,THROWING OBJECT AT MOVING VEHICLE,45.0,M,W,STREET,"(34.1649, -118.3965)",5,7,2016,34.1649,-118.3965,2016-05-07,18.8
302678,1358091,05/27/2016,1750,N Hollywood,1599,THROWING OBJECT AT MOVING VEHICLE,48.0,M,W,FREEWAY,"(34.1289, -118.3469)",5,27,2016,34.1289,-118.3469,2016-05-27,26.6
302994,1358470,06/09/2016,940,N Hollywood,1567,THROWING OBJECT AT MOVING VEHICLE,23.0,F,W,STREET,"(34.1522, -118.3626)",6,9,2016,34.1522,-118.3626,2016-06-09,27.5
304027,1359692,07/19/2016,1635,N Hollywood,1595,PICKPOCKET,51.0,M,W,PARKING LOT,"(34.1436, -118.3929)",7,19,2016,34.1436,-118.3929,2016-07-19,32.8
304233,1359931,07/27/2016,2250,N Hollywood,1522,KIDNAPPING,24.0,F,H,SIDEWALK,"(34.194, -118.4163)",7,27,2016,34.194,-118.4163,2016-07-27,35.2
305060,1360880,08/27/2016,100,N Hollywood,1595,PICKPOCKET,25.0,F,O,BAR/COCKTAIL/NIGHTCLUB,"(34.1427, -118.3908)",8,27,2016,34.1427,-118.3908,2016-08-27,26.4
305271,1361131,09/04/2016,530,N Hollywood,1546,ARSON,30.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.1649, -118.3851)",9,4,2016,34.1649,-118.3851,2016-09-04,25.1
305888,1361823,09/24/2016,2350,N Hollywood,1513,CRIMINAL HOMICIDE,61.0,M,O,LIQUOR STORE,"(34.2012, -118.4073)",9,24,2016,34.2012,-118.4073,2016-09-24,34.7
306219,1362216,10/06/2016,930,N Hollywood,1525,THROWING OBJECT AT MOVING VEHICLE,66.0,M,H,STREET,"(34.1794, -118.3951)",10,6,2016,34.1794,-118.3951,2016-10-06,31.3
306361,1362380,10/12/2016,2110,N Hollywood,1539,ARSON,28.0,M,H,SINGLE FAMILY DWELLING,"(34.1758, -118.3648)",10,12,2016,34.1758,-118.3648,2016-10-12,23.5
306445,1362479,10/14/2016,1620,N Hollywood,1516,PICKPOCKET,35.0,F,W,BUS STOP,"(34.194, -118.379)",10,14,2016,34.194,-118.379,2016-10-14,26.0
306571,1362625,10/19/2016,1815,N Hollywood,1505,CRIMINAL HOMICIDE,24.0,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2049, -118.3845)",10,19,2016,34.2049,-118.3845,2016-10-19,32.0
306616,1362682,10/21/2016,1320,N Hollywood,1523,PICKPOCKET,56.0,F,W,MARKET,"(34.1867, -118.4052)",10,21,2016,34.1867,-118.4052,2016-10-21,34.0
306854,1362952,10/29/2016,200,N Hollywood,1548,PICKPOCKET,27.0,F,W,NIGHT CLUB (OPEN EVENINGS ONLY),"(34.167, -118.3759)",10,29,2016,34.167,-118.3759,2016-10-29,26.6
307211,1363365,11/12/2016,638,N Hollywood,1527,CRIMINAL HOMICIDE,67.0,M,H,PARK/PLAYGROUND,"(34.1867, -118.3728)",11,12,2016,34.1867,-118.3728,2016-11-12,27.2
307257,1363420,11/14/2016,1820,N Hollywood,1547,ARSON,36.0,M,O,SINGLE FAMILY DWELLING,"(34.1697, -118.379)",11,14,2016,34.1697,-118.379,2016-11-14,32.0
307661,1363900,11/29/2016,1300,N Hollywood,1589,CRIMINAL HOMICIDE,40.0,M,W,PARKING UNDERGROUND/BUILDING,"(34.1362, -118.342)",11,29,2016,34.1362,-118.342,2016-11-29,18.2
307887,1364174,12/07/2016,2238,N Hollywood,1589,ARSON,27.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.1362, -118.342)",12,7,2016,34.1362,-118.342,2016-12-07,16.9
308081,1364401,12/15/2016,144,N Hollywood,1516,CRIMINAL HOMICIDE,37.0,M,H,SIDEWALK,"(34.1903, -118.3877)",12,15,2016,34.1903,-118.3877,2016-12-15,19.7
308278,1364638,12/16/2016,1700,N Hollywood,1596,THROWING OBJECT AT MOVING VEHICLE,32.0,F,W,STREET,"(34.1339, -118.3744)",12,16,2016,34.1339,-118.3744,2016-12-16,13.6
308731,1365154,05/27/2016,2100,Foothill,1695,ARSON,44.0,F,H,SINGLE FAMILY DWELLING,"(34.2094, -118.3725)",5,27,2016,34.2094,-118.3725,2016-05-27,26.4
308860,1365287,08/08/2016,1045,Foothill,1608,CRIMINAL HOMICIDE,35.0,M,B,SIDEWALK,"(34.2777, -118.3496)",8,8,2016,34.2777,-118.3496,2016-08-08,28.7
308955,1365391,10/05/2016,2335,Foothill,1665,THROWING OBJECT AT MOVING VEHICLE,21.0,M,W,STREET,"(34.2527, -118.3754)",10,5,2016,34.2527,-118.3754,2016-10-05,25.2
309066,1365508,12/17/2016,1810,Foothill,1693,ARSON,41.0,F,H,DRIVEWAY,"(34.2121, -118.4069)",12,17,2016,34.2121,-118.4069,2016-12-17,14.0
309067,1365509,12/17/2016,2225,Foothill,1601,CRIMINAL HOMICIDE,16.0,M,H,"VEHICLE, PASSENGER/TRUCK","(34.2844, -118.4114)",12,17,2016,34.2844,-118.4114,2016-12-17,13.1
309068,1365510,12/18/2016,810,Foothill,1675,ARSON,47.0,M,H,STREET,"(34.2309, -118.3727)",12,18,2016,34.2309,-118.3727,2016-12-18,15.4
309205,1365669,01/09/2016,426,Foothill,1621,ARSON,25.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.2627, -118.4304)",1,9,2016,34.2627,-118.4304,2016-01-09,11.4
309473,1366009,01/30/2016,1800,Foothill,1641,ARSON,51.0,M,H,OTHER/OUTSIDE,"(34.2499, -118.4227)",1,30,2016,34.2499,-118.4227,2016-01-30,18.3
309506,1366049,02/01/2016,1230,Foothill,1636,PICKPOCKET,54.0,F,W,RESTAURANT/FAST FOOD,"(34.2598, -118.3223)",2,1,2016,34.2598,-118.3223,2016-02-01,11.3
309712,1366306,02/14/2016,2319,Foothill,1601,CRIMINAL HOMICIDE,20.0,M,H,SIDEWALK,"(34.285, -118.4135)",2,14,2016,34.285,-118.4135,2016-02-14,29.0
309998,1366641,03/03/2016,2313,Foothill,1601,CRIMINAL HOMICIDE,41.0,M,H,STREET,"(34.2866, -118.4157)",3,3,2016,34.2866,-118.4157,2016-03-03,23.4
310055,1366712,03/04/2016,2200,Foothill,1663,KIDNAPPING,41.0,F,H,STREET,"(34.2409, -118.4132)",3,4,2016,34.2409,-118.4132,2016-03-04,21.7
310115,1366789,01/08/2016,1905,Foothill,1606,CRIMINAL HOMICIDE,43.0,M,B,STREET,"(34.2777, -118.3868)",1,8,2016,34.2777,-118.3868,2016-01-08,13.1
310475,1367227,04/01/2016,1415,Foothill,1637,THROWING OBJECT AT MOVING VEHICLE,51.0,M,W,STREET,"(34.2597, -118.3114)",4,1,2016,34.2597,-118.3114,2016-04-01,24.7
310648,1367432,04/12/2016,1420,Foothill,1623,THROWING OBJECT AT MOVING VEHICLE,27.0,M,W,STREET,"(34.2665, -118.4144)",4,12,2016,34.2665,-118.4144,2016-04-12,21.2
311044,1367903,05/04/2016,2000,Foothill,1603,CRIMINAL HOMICIDE,78.0,F,W,SINGLE FAMILY DWELLING,"(34.2919, -118.3914)",5,4,2016,34.2919,-118.3914,2016-05-04,23.0
311379,1368305,05/20/2016,2130,Foothill,1623,ARSON,55.0,F,H,SINGLE FAMILY DWELLING,"(34.2688, -118.4158)",5,20,2016,34.2688,-118.4158,2016-05-20,19.2
311551,1368507,06/02/2016,2000,Foothill,1684,ARSON,59.0,M,H,STREET,"(34.2139, -118.3954)",6,2,2016,34.2139,-118.3954,2016-06-02,32.8
311722,1368701,06/07/2016,1057,Foothill,1619,ARSON,45.0,M,W,OTHER/OUTSIDE,"(34.2758, -118.2995)",6,7,2016,34.2758,-118.2995,2016-06-07,27.4
312299,1369381,07/22/2016,1115,Foothill,1668,THROWING OBJECT AT MOVING VEHICLE,33.0,M,W,STREET,"(34.2478, -118.2818)",7,22,2016,34.2478,-118.2818,2016-07-22,39.8
312825,1370002,08/24/2016,953,Foothill,1601,ARSON,40.0,M,H,"VEHICLE, PASSENGER/TRUCK","(34.288, -118.4151)",8,24,2016,34.288,-118.4151,2016-08-24,31.9
312838,1370017,08/18/2016,140,Foothill,1623,THROWING OBJECT AT MOVING VEHICLE,15.0,M,O,OTHER PREMISE,"(34.2688, -118.4158)",8,18,2016,34.2688,-118.4158,2016-08-18,32.5
312881,1370073,08/28/2016,2120,Foothill,1605,CRIMINAL HOMICIDE,47.0,M,H,STREET,"(34.2848, -118.3906)",8,28,2016,34.2848,-118.3906,2016-08-28,33.1
312882,1370074,08/28/2016,2120,Foothill,1605,CRIMINAL HOMICIDE,68.0,M,H,STREET,"(34.2848, -118.3906)",8,28,2016,34.2848,-118.3906,2016-08-28,33.1
312928,1370129,08/30/2016,1528,Foothill,1675,ARSON,21.0,M,O,STREET,"(34.2345, -118.3689)",8,30,2016,34.2345,-118.3689,2016-08-30,36.4
313084,1370328,09/07/2016,1620,Foothill,1601,CRIMINAL HOMICIDE,33.0,F,B,SINGLE FAMILY DWELLING,"(34.2862, -118.4133)",9,7,2016,34.2862,-118.4133,2016-09-07,29.1
313290,1370570,09/18/2016,245,Foothill,1681,ARSON,15.0,M,O,PARKING LOT,"(34.2254, -118.3971)",9,18,2016,34.2254,-118.3971,2016-09-18,36.3
313923,1371325,10/26/2016,1923,Foothill,1612,ARSON,60.0,M,H,SINGLE FAMILY DWELLING,"(34.2696, -118.4245)",10,26,2016,34.2696,-118.4245,2016-10-26,27.1
314100,1371520,11/07/2016,955,Foothill,1654,KIDNAPPING,25.0,F,H,STREET,"(34.2619, -118.3989)",11,7,2016,34.2619,-118.3989,2016-11-07,28.6
314221,1371658,11/15/2016,840,Foothill,1676,KIDNAPPING,46.0,M,H,STREET,"(34.2342, -118.366)",11,15,2016,34.2342,-118.366,2016-11-15,26.9
314366,1371831,11/24/2016,1430,Foothill,1656,ARSON,20.0,F,H,STREET,"(34.2561, -118.3201)",11,24,2016,34.2561,-118.3201,2016-11-24,22.3
314733,1372290,12/20/2016,700,Foothill,1613,KIDNAPPING,46.0,F,B,SINGLE FAMILY DWELLING,"(34.2717, -118.4096)",12,20,2016,34.2717,-118.4096,2016-12-20,21.4
315866,1373860,02/17/2016,15,Devonshire,1745,PICKPOCKET,50.0,M,F,STREET,"(34.2649, -118.5197)",2,17,2016,34.2649,-118.5197,2016-02-17,22.8
316025,1374087,02/25/2016,1815,Devonshire,1701,THROWING OBJECT AT MOVING VEHICLE,29.0,M,W,STREET,"(34.2866, -118.5754)",2,25,2016,34.2866,-118.5754,2016-02-25,25.7
316583,1374844,03/28/2016,1250,Devonshire,1795,THROWING OBJECT AT MOVING VEHICLE,29.0,M,W,STREET,"(34.2248, -118.5151)",3,28,2016,34.2248,-118.5151,2016-03-28,18.8
317225,1375710,05/02/2016,1520,Devonshire,1796,THROWING OBJECT AT MOVING VEHICLE,40.0,F,W,STREET,"(34.2267, -118.5026)",5,2,2016,34.2267,-118.5026,2016-05-02,26.6
317388,1375927,04/22/2016,2200,Devonshire,1722,PICKPOCKET,27.0,F,W,SINGLE FAMILY DWELLING,"(34.2631, -118.5973)",4,22,2016,34.2631,-118.5973,2016-04-22,23.2
317523,1376120,05/14/2016,1440,Devonshire,1745,THROWING OBJECT AT MOVING VEHICLE,22.0,F,H,PARKING LOT,"(34.2647, -118.5253)",5,14,2016,34.2647,-118.5253,2016-05-14,23.0
317682,1376330,05/22/2016,1830,Devonshire,1785,THROWING OBJECT AT MOVING VEHICLE,36.0,M,W,STREET,"(34.2355, -118.5448)",5,22,2016,34.2355,-118.5448,2016-05-22,23.2
318063,1376855,05/31/2016,2100,Devonshire,1767,CRIMINAL HOMICIDE,36.0,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2455, -118.5361)",5,31,2016,34.2455,-118.5361,2016-05-31,25.9
318357,1377245,06/26/2016,1850,Devonshire,1782,PICKPOCKET,51.0,F,W,PARKING LOT,"(34.2299, -118.5536)",6,26,2016,34.2299,-118.5536,2016-06-26,31.2
318906,1377993,07/24/2016,1335,Devonshire,1756,CRIMINAL HOMICIDE,23.0,M,B,DRIVEWAY,"(34.2522, -118.5216)",7,24,2016,34.2522,-118.5216,2016-07-24,33.1
318930,1378023,07/23/2016,415,Devonshire,1785,KIDNAPPING,21.0,F,H,STREET,"(34.2373, -118.5338)",7,23,2016,34.2373,-118.5338,2016-07-23,38.9
319059,1378201,07/30/2016,2025,Devonshire,1754,THROWING OBJECT AT MOVING VEHICLE,31.0,F,W,STREET,"(34.2538, -118.5371)",7,30,2016,34.2538,-118.5371,2016-07-30,33.1
319222,1378433,08/09/2016,1140,Devonshire,1797,THROWING OBJECT AT MOVING VEHICLE,24.0,F,H,STREET,"(34.2284, -118.4851)",8,9,2016,34.2284,-118.4851,2016-08-09,28.4
319386,1378658,08/17/2016,1420,Devonshire,1794,CRIMINAL HOMICIDE,69.0,M,W,SINGLE FAMILY DWELLING,"(34.2265, -118.5361)",8,17,2016,34.2265,-118.5361,2016-08-17,35.4
319463,1378748,08/20/2016,2100,Devonshire,1715,CRIMINAL HOMICIDE,30.0,M,B,SINGLE FAMILY DWELLING,"(34.2947, -118.5346)",8,20,2016,34.2947,-118.5346,2016-08-20,31.3
319557,1378872,08/24/2016,1800,Devonshire,1794,KIDNAPPING,37.0,F,H,GAS STATION,"(34.2289, -118.5361)",8,24,2016,34.2289,-118.5361,2016-08-24,31.8
319826,1379239,09/08/2016,1045,Devonshire,1795,CRIMINAL HOMICIDE,19.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2248, -118.5151)",9,8,2016,34.2248,-118.5151,2016-09-08,28.2
319953,1379401,09/15/2016,1945,Devonshire,1785,KIDNAPPING,26.0,F,H,PARKING LOT,"(34.2355, -118.5361)",9,15,2016,34.2355,-118.5361,2016-09-15,27.8
320078,1379568,09/22/2016,123,Devonshire,1708,KIDNAPPING,20.0,F,X,STREET,"(34.32, -118.4967)",9,22,2016,34.32,-118.4967,2016-09-22,26.2
320675,1380361,10/22/2016,800,Devonshire,1773,PICKPOCKET,17.0,M,H,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,"(34.2391, -118.5295)",10,22,2016,34.2391,-118.5295,2016-10-22,29.1
321056,1380880,09/25/2016,750,Devonshire,1787,CRIMINAL HOMICIDE,27.0,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2486, -118.5233)",9,25,2016,34.2486,-118.5233,2016-09-25,37.1
321140,1380995,11/11/2016,1955,Devonshire,1794,THROWING OBJECT AT MOVING VEHICLE,38.0,F,O,STREET,"(34.2264, -118.5448)",11,11,2016,34.2264,-118.5448,2016-11-11,30.0
